year,name,sex,count
yob1880.txt,Mary,F,7065
yob1880.txt,James,F,22
yob1880.txt,Leslie,F,8
yob1880.txt,James,M,5927
yob1880.txt,Leslie,M,79
yob1880.txt,Donald,M,46
yob1880.txt,Mary,M,27
yob1880.txt,Logan,M,13
yob1881.txt,Mary,F,6919
yob1881.txt,James,F,24
yob1881.txt,Leslie,F,11
yob1881.txt,James,M,5441
yob1881.txt,Leslie,M,92
yob1881.txt,Mary,M,29
yob1881.txt,Donald,M,27
yob1881.txt,Logan,M,13
yob1882.txt,Mary,F,8148
yob1882.txt,James,F,18
yob1882.txt,Leslie,F,9
yob1882.txt,James,M,5892
yob1882.txt,Leslie,M,122
yob1882.txt,Donald,M,48
yob1882.txt,Mary,M,30
yob1882.txt,Logan,M,17
yob1883.txt,Mary,F,8012
yob1883.txt,James,F,25
yob1883.txt,Leslie,F,7
yob1883.txt,James,M,5223
yob1883.txt,Leslie,M,120
yob1883.txt,Donald,M,52
yob1883.txt,Mary,M,32
yob1883.txt,Logan,M,20
yob1884.txt,Mary,F,9217
yob1884.txt,James,F,33
yob1884.txt,Leslie,F,15
yob1884.txt,James,M,5693
yob1884.txt,Leslie,M,125
yob1884.txt,Logan,M,63
yob1884.txt,Donald,M,59
yob1884.txt,Mary,M,36
yob1885.txt,Mary,F,9128
yob1885.txt,James,F,26
yob1885.txt,Leslie,F,10
yob1885.txt,James,M,5175
yob1885.txt,Leslie,M,122
yob1885.txt,Donald,M,47
yob1885.txt,Mary,M,38
yob1885.txt,Logan,M,32
yob1886.txt,Mary,F,9889
yob1886.txt,James,F,29
yob1886.txt,Leslie,F,8
yob1886.txt,James,M,5355
yob1886.txt,Leslie,M,136
yob1886.txt,Donald,M,57
yob1886.txt,Mary,M,32
yob1886.txt,Logan,M,30
yob1887.txt,Mary,F,9888
yob1887.txt,James,F,19
yob1887.txt,Leslie,F,12
yob1887.txt,James,M,4768
yob1887.txt,Leslie,M,166
yob1887.txt,Donald,M,60
yob1887.txt,Mary,M,47
yob1887.txt,Logan,M,29
yob1888.txt,Mary,F,11754
yob1888.txt,James,F,45
yob1888.txt,Leslie,F,23
yob1888.txt,James,M,5562
yob1888.txt,Leslie,M,175
yob1888.txt,Donald,M,77
yob1888.txt,Mary,M,50
yob1888.txt,Logan,M,18
yob1888.txt,Hillary,M,6
yob1889.txt,Mary,F,11648
yob1889.txt,James,F,26
yob1889.txt,Leslie,F,23
yob1889.txt,James,M,5020
yob1889.txt,Leslie,M,155
yob1889.txt,Donald,M,75
yob1889.txt,Mary,M,41
yob1889.txt,Logan,M,32
yob1889.txt,Hillary,M,5
yob1890.txt,Mary,F,12078
yob1890.txt,James,F,33
yob1890.txt,Leslie,F,20
yob1890.txt,Donald,F,5
yob1890.txt,James,M,5097
yob1890.txt,Leslie,M,181
yob1890.txt,Donald,M,109
yob1890.txt,Mary,M,35
yob1890.txt,Logan,M,15
yob1890.txt,Hillary,M,5
yob1891.txt,Mary,F,11703
yob1891.txt,James,F,31
yob1891.txt,Leslie,F,28
yob1891.txt,James,M,4516
yob1891.txt,Leslie,M,164
yob1891.txt,Donald,M,100
yob1891.txt,Mary,M,39
yob1891.txt,Logan,M,15
yob1892.txt,Mary,F,13172
yob1892.txt,James,F,22
yob1892.txt,Leslie,F,22
yob1892.txt,James,M,5398
yob1892.txt,Leslie,M,207
yob1892.txt,Donald,M,137
yob1892.txt,Mary,M,50
yob1892.txt,Logan,M,14
yob1893.txt,Mary,F,12784
yob1893.txt,Leslie,F,26
yob1893.txt,James,F,23
yob1893.txt,James,M,5030
yob1893.txt,Leslie,M,185
yob1893.txt,Donald,M,166
yob1893.txt,Mary,M,55
yob1893.txt,Logan,M,15
yob1894.txt,Mary,F,13151
yob1894.txt,Leslie,F,36
yob1894.txt,James,F,25
yob1894.txt,James,M,5110
yob1894.txt,Leslie,M,223
yob1894.txt,Donald,M,169
yob1894.txt,Mary,M,48
yob1894.txt,Logan,M,16
yob1895.txt,Mary,F,13446
yob1895.txt,James,F,34
yob1895.txt,Leslie,F,22
yob1895.txt,James,M,5335
yob1895.txt,Leslie,M,235
yob1895.txt,Donald,M,203
yob1895.txt,Mary,M,47
yob1895.txt,Logan,M,15
yob1896.txt,Mary,F,13811
yob1896.txt,James,F,28
yob1896.txt,Leslie,F,27
yob1896.txt,James,M,5207
yob1896.txt,Leslie,M,237
yob1896.txt,Donald,M,211
yob1896.txt,Mary,M,57
yob1896.txt,Logan,M,15
yob1897.txt,Mary,F,13413
yob1897.txt,Leslie,F,34
yob1897.txt,James,F,30
yob1897.txt,James,M,5113
yob1897.txt,Leslie,M,222
yob1897.txt,Donald,M,195
yob1897.txt,Mary,M,63
yob1897.txt,Logan,M,16
yob1897.txt,Hillary,M,6
yob1898.txt,Mary,F,14406
yob1898.txt,James,F,29
yob1898.txt,Leslie,F,24
yob1898.txt,James,M,5321
yob1898.txt,Donald,M,238
yob1898.txt,Leslie,M,228
yob1898.txt,Mary,M,50
yob1898.txt,Logan,M,18
yob1898.txt,Hillary,M,9
yob1899.txt,Mary,F,13172
yob1899.txt,James,F,27
yob1899.txt,Leslie,F,18
yob1899.txt,James,M,4597
yob1899.txt,Donald,M,258
yob1899.txt,Leslie,M,181
yob1899.txt,Mary,M,50
yob1899.txt,Logan,M,10
yob1900.txt,Mary,F,16706
yob1900.txt,James,F,41
yob1900.txt,Leslie,F,30
yob1900.txt,James,M,7245
yob1900.txt,Donald,M,328
yob1900.txt,Leslie,M,275
yob1900.txt,Mary,M,75
yob1900.txt,Logan,M,22
yob1901.txt,Mary,F,13136
yob1901.txt,James,F,30
yob1901.txt,Leslie,F,29
yob1901.txt,James,M,4735
yob1901.txt,Donald,M,250
yob1901.txt,Leslie,M,198
yob1901.txt,Mary,M,58
yob1901.txt,Logan,M,8
yob1902.txt,Mary,F,14486
yob1902.txt,Leslie,F,37
yob1902.txt,James,F,30
yob1902.txt,James,M,5592
yob1902.txt,Donald,M,366
yob1902.txt,Leslie,M,251
yob1902.txt,Mary,M,56
yob1902.txt,Logan,M,13
yob1903.txt,Mary,F,14275
yob1903.txt,James,F,28
yob1903.txt,Leslie,F,24
yob1903.txt,James,M,5480
yob1903.txt,Donald,M,359
yob1903.txt,Leslie,M,227
yob1903.txt,Mary,M,63
yob1903.txt,Logan,M,12
yob1903.txt,Hillary,M,6
yob1904.txt,Mary,F,14961
yob1904.txt,Leslie,F,30
yob1904.txt,James,F,27
yob1904.txt,James,M,5855
yob1904.txt,Donald,M,413
yob1904.txt,Leslie,M,236
yob1904.txt,Mary,M,58
yob1904.txt,Logan,M,13
yob1905.txt,Mary,F,16067
yob1905.txt,James,F,35
yob1905.txt,Leslie,F,35
yob1905.txt,James,M,6042
yob1905.txt,Donald,M,426
yob1905.txt,Leslie,M,237
yob1905.txt,Mary,M,68
yob1905.txt,Logan,M,19
yob1906.txt,Mary,F,16370
yob1906.txt,James,F,37
yob1906.txt,Leslie,F,29
yob1906.txt,James,M,5908
yob1906.txt,Donald,M,486
yob1906.txt,Leslie,M,263
yob1906.txt,Mary,M,76
yob1906.txt,Logan,M,11
yob1907.txt,Mary,F,17580
yob1907.txt,James,F,45
yob1907.txt,Leslie,F,34
yob1907.txt,James,M,6707
yob1907.txt,Donald,M,616
yob1907.txt,Leslie,M,273
yob1907.txt,Mary,M,70
yob1907.txt,Logan,M,8
yob1907.txt,Hillary,M,7
yob1908.txt,Mary,F,18665
yob1908.txt,Leslie,F,41
yob1908.txt,James,F,32
yob1908.txt,James,M,7012
yob1908.txt,Donald,M,664
yob1908.txt,Leslie,M,279
yob1908.txt,Mary,M,79
yob1908.txt,Logan,M,12
yob1908.txt,Hillary,M,6
yob1909.txt,Mary,F,19259
yob1909.txt,James,F,52
yob1909.txt,Leslie,F,35
yob1909.txt,James,M,7594
yob1909.txt,Donald,M,725
yob1909.txt,Leslie,M,292
yob1909.txt,Mary,M,80
yob1909.txt,Logan,M,18
yob1909.txt,Hillary,M,7
yob1910.txt,Mary,F,22848
yob1910.txt,James,F,63
yob1910.txt,Leslie,F,52
yob1910.txt,Donald,F,6
yob1910.txt,James,M,9195
yob1910.txt,Donald,M,860
yob1910.txt,Leslie,M,313
yob1910.txt,Mary,M,99
yob1910.txt,Logan,M,17
yob1910.txt,Hillary,M,5
yob1911.txt,Mary,F,24390
yob1911.txt,James,F,69
yob1911.txt,Leslie,F,35
yob1911.txt,James,M,9951
yob1911.txt,Donald,M,1275
yob1911.txt,Leslie,M,323
yob1911.txt,Mary,M,98
yob1911.txt,Logan,M,17
yob1911.txt,Hillary,M,9
yob1912.txt,Mary,F,32304
yob1912.txt,James,F,81
yob1912.txt,Leslie,F,49
yob1912.txt,Donald,F,7
yob1912.txt,James,M,17644
yob1912.txt,Donald,M,2872
yob1912.txt,Leslie,M,693
yob1912.txt,Mary,M,118
yob1912.txt,Logan,M,35
yob1912.txt,Hillary,M,6
yob1913.txt,Mary,F,36642
yob1913.txt,James,F,95
yob1913.txt,Leslie,F,52
yob1913.txt,Donald,F,14
yob1913.txt,James,M,20832
yob1913.txt,Donald,M,3703
yob1913.txt,Leslie,M,838
yob1913.txt,Mary,M,126
yob1913.txt,Logan,M,38
yob1913.txt,Hillary,M,10
yob1914.txt,Mary,F,45345
yob1914.txt,James,F,107
yob1914.txt,Leslie,F,68
yob1914.txt,Donald,F,19
yob1914.txt,James,M,26263
yob1914.txt,Donald,M,4835
yob1914.txt,Leslie,M,1076
yob1914.txt,Mary,M,127
yob1914.txt,Logan,M,65
yob1914.txt,Hillary,M,9
yob1915.txt,Mary,F,58187
yob1915.txt,James,F,155
yob1915.txt,Leslie,F,88
yob1915.txt,Donald,F,20
yob1915.txt,James,M,33775
yob1915.txt,Donald,M,7116
yob1915.txt,Leslie,M,1409
yob1915.txt,Mary,M,159
yob1915.txt,Logan,M,55
yob1915.txt,Hillary,M,18
yob1916.txt,Mary,F,61438
yob1916.txt,James,F,166
yob1916.txt,Leslie,F,101
yob1916.txt,Donald,F,22
yob1916.txt,James,M,35569
yob1916.txt,Donald,M,7737
yob1916.txt,Leslie,M,1355
yob1916.txt,Mary,M,164
yob1916.txt,Logan,M,79
yob1916.txt,Hillary,M,12
yob1917.txt,Mary,F,64281
yob1917.txt,James,F,182
yob1917.txt,Leslie,F,99
yob1917.txt,Donald,F,29
yob1917.txt,James,M,37339
yob1917.txt,Donald,M,8729
yob1917.txt,Leslie,M,1440
yob1917.txt,Mary,M,159
yob1917.txt,Logan,M,94
yob1917.txt,Hillary,M,15
yob1918.txt,Mary,F,67366
yob1918.txt,James,F,212
yob1918.txt,Leslie,F,127
yob1918.txt,Donald,F,38
yob1918.txt,James,M,42118
yob1918.txt,Donald,M,9973
yob1918.txt,Leslie,M,1644
yob1918.txt,Mary,M,169
yob1918.txt,Logan,M,85
yob1918.txt,Hillary,M,18
yob1919.txt,Mary,F,65838
yob1919.txt,James,F,192
yob1919.txt,Leslie,F,114
yob1919.txt,Donald,F,42
yob1919.txt,James,M,42390
yob1919.txt,Donald,M,9903
yob1919.txt,Leslie,M,1539
yob1919.txt,Mary,M,154
yob1919.txt,Logan,M,81
yob1919.txt,Hillary,M,15
yob1920.txt,Mary,F,70982
yob1920.txt,James,F,249
yob1920.txt,Leslie,F,92
yob1920.txt,Donald,F,46
yob1920.txt,James,M,47912
yob1920.txt,Donald,M,11942
yob1920.txt,Leslie,M,1592
yob1920.txt,Mary,M,195
yob1920.txt,Logan,M,74
yob1920.txt,Hillary,M,18
yob1921.txt,Mary,F,73985
yob1921.txt,James,F,231
yob1921.txt,Leslie,F,126
yob1921.txt,Donald,F,57
yob1921.txt,James,M,49748
yob1921.txt,Donald,M,13776
yob1921.txt,Leslie,M,1647
yob1921.txt,Mary,M,187
yob1921.txt,Logan,M,86
yob1921.txt,Hillary,M,21
yob1922.txt,Mary,F,72173
