year,rank,region,state,airport_code,airport_name,service_level,hub_type,boardings,previous_year_boardings,yoy_change
1999,,,GA,ATL,THE WILLIAM B HARTSFIE,P,,38136866,,
1999,,,IL,ORD,CHICAGO O'HARE INTL,P,,34050083,,
1999,,,CA,LAX,LOS ANGELES INTL,P,,30830915,,
1999,,,TX,DFW,DALLAS/FORT WORTH I,P,,27990212,,
1999,,,CA,SFO,SAN FRANCISCO INTERNA,P,,19249988,,
1999,,,CO,DEN,DENVER INTL,P,,18039836,,
1999,,,NV,LAS,MC CARRAN INTL,P,,16055319,,
1999,,,WA,SEA,SEATTLE-TACOMA INTL,P,,13610469,,
2000,1,,GA,ATL,THE WILLIAM B HARTSFIELD AT,P,,39277901,,
2000,2,,IL,ORD,CHICAGO O'HARE INTL,P,,33845895,,
2000,3,,CA,LAX,LOS ANGELES INTL,P,,32167896,,
2000,4,,TX,DFW,DALLAS/FORT WORTH INTERNATI,P,,28274512,,
2000,5,,CA,SFO,SAN FRANCISCO INTERNATIONAL,P,,19556795,,
2000,6,,CO,DEN,DENVER INTL,P,,18382940,,
2000,8,,NV,LAS,MC CARRAN INTL,P,,17425214,,
2000,17,,WA,SEA,SEATTLE-TACOMA INTL,P,,13875942,,
2001,,WP,CA,LAX,Los Angeles International,P,L,29365436,,
2001,,WP,CA,SFO,San Francisco International,P,L,16475611,,
2001,,NM,CO,DEN,Denver International,P,L,17178872,,
2001,,SO,GA,ATL,The William B Hartsfield Atlanta International,P,L,37181068,,
2001,,GL,IL,ORD,Chicago O'Hare International,P,L,31529561,,
2001,,WP,NV,LAS,Mc Carran International,P,L,16633435,,
2001,,SW,TX,DFW,Dallas/Fort Worth International,P,L,25610562,,
2001,,NM,WA,SEA,Seattle-Tacoma International,P,L,13184630,,
2002,1,SO,GA,ATL,The William B Hartsfield Atlanta International,P,L,37720556,37181068,0.0145
2002,2,GL,IL,ORD,Chicago O'Hare International,P,L,31706328,31529561,0.0056
2002,3,WP,CA,LAX,Los Angeles International,P,L,26911570,29365436,-0.0836
2002,4,SW,TX,DFW,Dallas / Fort Worth International,P,L,24761105,25610562,-0.0332
2002,6,NM,CO,DEN,Denver International,P,L,16943564,17178872,-0.0137
2002,7,WP,NV,LAS,McCarran International,P,L,16600807,16633435,-0.002
2002,11,WP,CA,SFO,San Francisco International,P,L,14736137,16475611,-0.1056
2002,15,NM,WA,SEA,Seattle - Tacoma International,P,L,12969024,13184630,-0.0164
2003,,WP,CA,LAX,Los Angeles Int'l,P,L,26239584,,
2003,,WP,CA,SFO,San Francisco Int'l,P,L,14079173,,
2003,,NM,CO,DEN,Denver Int'l,P,L,17969754,,
