nid,Sequence,Judge Name,Court Type,Court Name,Appointment Title,Appointing President,Party of Appointing President,Reappointing President,Party of Reappointing President,ABA Rating,Seat ID,Statute Authorizing New Seat,Recess Appointment Date,Nomination Date,Committee Referral Date,Hearing Date,Judiciary Committee Action,Committee Action Date,Senate Vote Type,Ayes/Nays,Confirmation Date,Commission Date,"Service as Chief Judge, Begin","Service as Chief Judge, End","2nd Service as Chief Judge, Begin","2nd Service as Chief Judge, End",Senior Status Date,Termination,Termination Date
1394646,1,"Abrams, Leslie Joyce",U.S. District Court,U.S. District Court for the Middle District of Georgia,Judge,Barack Obama,Democratic,,,Qualified,GAMD0402, ,,2014-03-11,2014-03-11,2014-05-13,Reported (favorably),2014-06-19,Roll Call, 100/0,2014-11-18,2014-11-20,,,,,,,
1393931,1,"Abrams, Ronnie",U.S. District Court,U.S. District Court for the Southern District of New York,Judge,Barack Obama,Democratic,,,Qualified,NYSD2704, ,,2011-07-28,2011-07-28,2011-10-04,Reported (favorably),2011-11-03,Roll Call, 96/2,2012-03-22,2012-03-23,,,,,,,
1376986,1,"Acker, William Marsh, Jr.",U.S. District Court,U.S. District Court for the Northern District of Alabama,Judge,Ronald Reagan,Republican,,,Qualified,ALND0404, ,,1982-07-22,1982-07-22,1982-08-11,Reported (favorably),1982-08-17,Voice,  ,1982-08-18,1982-08-18,,,,,1996-05-31,Death,2018-06-21
1376991,1,"Ackerman, Harold Arnold",U.S. District Court,U.S. District Court for the District of New Jersey,Judge,Jimmy Carter,Democratic,,,Well Qualified,NJD0505, ,,1979-09-28,1979-09-28,1979-10-25,Reported (favorably),1979-10-30,Voice,  ,1979-10-31,1979-11-02,,,,,1994-02-15,Death,2009-12-02
1376996,1,"Ackerman, James Waldo",U.S. District Court,U.S. District Court for the Southern District of Illinois,Judge,Gerald Ford,Republican,,,Well Qualified,ILSD0204, ,,1976-06-18,1976-06-18,1976-06-30,Reported (favorably),1976-06-30,Voice,  ,1976-07-02,1976-07-02,,,,,,Reassignment,1979-03-31
1377001,1,"Acosta, Raymond L.",U.S. District Court,U.S. District Court for the District of Puerto Rico,Judge,Ronald Reagan,Republican,,,Qualified,PRD0302, ,,1982-09-09,1982-09-09,1982-09-22,Reported (favorably),1982-09-28,Voice,  ,1982-09-29,1982-09-30,,,,,1994-06-01,Death,2014-12-23
1377031,1,"Adams, Henry Lee, Jr.",U.S. District Court,U.S. District Court for the Middle District of Florida,Judge,William J. Clinton,Democratic,,,Qualified,FLMD0702, ,,1993-10-29,1993-11-01,1993-11-16,Reported (favorably),1993-11-18,Voice,  ,1993-11-20,1993-11-24,,,,,2010-04-08,,
1391781,1,"Adams, John R.",U.S. District Court,U.S. District Court for the Northern District of Ohio,Judge,George W. Bush,Republican,,,Qualified,OHND1102, ,,2003-01-07,2003-01-07,2003-01-29,Reported (favorably),2003-02-06,Roll Call, 91/0,2003-02-10,2003-02-12,,,,,,,
1390426,1,"Adelman, Lynn S.",U.S. District Court,U.S. District Court for the Eastern District of Wisconsin,Judge,William J. Clinton,Democratic,,,Qualified,WIED0303, ,,1997-09-08,1997-09-08,1997-10-29,Reported (favorably),1997-11-06,Voice,  ,1997-11-13,1997-12-23,,,,,,,
1391471,1,"Africk, Lance M.",U.S. District Court,U.S. District Court for the Eastern District of Louisiana,Judge,George W. Bush,Republican,,,Well Qualified,LAED0405, ,,2002-01-23,2002-01-23,2002-03-19,Reported (favorably),2002-04-11,Roll Call, 97/0,2002-04-17,2002-04-17,,,,,,,
