STOP_ID_ANONY,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_APARTMENT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME
1,1/2/19,14:30:00,2019,January,Wednesday,Based on C/W on Scene,APP,POM,1,SGT,1,I,P,PSB,1,PETIT LARCENY,10,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,UNDERSTANDING,30,MALE,BLACK,5.11,230,HEA,BRO,BLK,UNKNOWN,1,C,(null),230 VESEY STREET,VESEY STREET,979667,199737,(null),PBMS,MANHATTAN
2,1/8/19,2:30:00,2019,January,Tuesday,Based on Self Initiated,APP,POM,1,SGT,1,O,P,PSB,1,GRAND LARCENY,10,Y,(null),N,Y,GRAND LARCENY,N,(null),N,(null),S,V,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),DE,NORMAL,22,MALE,BLACK,5.1,190,MED,BRO,BLK,(null),1,C,(null),9 WHITE STREET,WHITE STREET,982650,201326,(null),PBMS,MANHATTAN
3,1/12/19,16:54:00,2019,January,Saturday,Based on Radio Run,APP,POM,1,SGT,1,I,P,PSB,1,PETIT LARCENY,4,Y,(null),N,Y,PETIT LARCENY,N,(null),Y,(null),(null),(null),N,N,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),DE,CALM,56,MALE,WHITE,5.9,250,HEA,BLU,BLK,"BLACK LONG COAT, BLACK PANTS, BLACK FEDORA HAT, CANE, BIG SUITCASE",1,D,(null),131 SPRING STREET,SPRING STREET,984063,203033,(null),PBMS,MANHATTAN
4,1/14/19,21:21:00,2019,January,Monday,Based on Radio Run,APP,POM,1,SGT,1,O,P,PSB,0,ROBBERY,5,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),DE,CONFUSED,(null),MALE,BLACK, , ,(null),(null),(null),(null),1,(,(null),GRAND STREET && 6TH AVE,GRAND STREET,982848,202677,(null),PBMS,MANHATTAN
5,1/15/19,18:50:00,2019,January,Tuesday,Based on Radio Run,APP,POM,1,SGT,1,O,P,PSB,1,ASSAULT,5,Y,(null),N,Y,ASSAULT,N,(null),N,(null),S,V,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),#N/A,#N/A,21,MALE,BLACK,5.9,150,THN,BLK,BLK,(null),1,D,(null),32 THOMPSON STREET,THOMPSON STREET,983100,202705,(null),PBMS,MANHATTAN
6,1/23/19,6:16:00,2019,January,Wednesday,Based on Radio Run,APP,POM,1,SGT,1,(null),P,PSB,1,BURGLARY,5,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,COORPERATIVE,17,MALE,BLACK,5.9,150,MED,BLK,RED,BLACK WOODED JACKET,1,B,(null),8 STONE STREET,STONE STREET,980765,195773,(null),PBMS,MANHATTAN
7,1/24/19,12:16:00,2019,January,Thursday,Based on Radio Run,APP,POM,1,SGT,1,O,P,PSB,1,ASSAULT,3,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),DE,COOPERATIVE,21,MALE,BLACK,6.2,220,MED,BRO,BLK,NA,1,B,(null),42 BROADWAY,BROADWAY,980671,196590,(null),PBMS,MANHATTAN
8,1/22/19,6:16:00,2019,January,Tuesday,Based on Radio Run,APP,POM,1,SGT,1,I,P,PSB,1,BURGLARY,5,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,COOPERATIVE,(null),MALE,BLACK HISPANIC,5.9,150,MED,BRO,BLK,BLACK SWEATSHIRT DU-RAG,1,B,(null),8 STONE STREET,STONE STREET,980765,195773,(null),PBMS,MANHATTAN
9,2/4/19,14:09:00,2019,February,Monday,Based on Radio Run,APP,POM,1,SGT,1,O,P,PSB,1,PETIT LARCENY,5,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,CALM,26,MALE,BLACK,5.7,140,THN,BRO,BLK,N/A,1,A,(null),60 WALL STREET,WALL STREET,981863,196460,(null),PBMS,MANHATTAN
10,2/11/19,9:05:00,2019,February,Monday,Based on C/W on Scene,APP,POM,861,SGT,861,S,T,Transit,0,MENACING,10,Y,(null),N,Y,MENACING,N,(null),Y,(null),(null),(null),Y,Y,Y,Y,N,(null),Y,(null),Y,(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),DE,"NEUTRAL, NON HOSTILE",17,MALE,BLACK,5.5,125,THN,BRO,BLK,"RED BUBBLE JACKET, GRAY SWEATSHIRT, GRAY SWEATS",1,A,(null),NASSAU STREET && FULTON STREET,NASSAU STREET,982103,198029,(null),PBMS,MANHATTAN
